variable,variable_label,value_labels,r_class,total_n,nonmissing_n,missing_n,missing_percent,unique_nonmissing_values
v201,total children ever born,NA,numeric,17986,17986,0,0,17
v501,current marital status,never in union = 0 | married = 1 | living with partner = 2 | widowed = 3 | divorced = 4 | no longer living together/separated = 5,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,6
v714,respondent currently working,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,2
v481,covered by health insurance,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,2
v467d,getting medical help for self: distance to health facility,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,2
v743a,person who usually decides on: respondent's health care,respondent alone = 1 | respondent and husband/partner = 2 | respondent and other person = 3 | husband/partner alone = 4 | someone else = 5 | other = 6,"haven_labelled, vctrs_vctr, double",17986,16922,1064,5.915712220616035,5
v743b,person who usually decides on: large household purchases,respondent alone = 1 | respondent and husband/partner = 2 | respondent and other person = 3 | husband/partner alone = 4 | someone else = 5 | other = 6,"haven_labelled, vctrs_vctr, double",17986,16922,1064,5.915712220616035,5
v743d,person who usually decides on: visits to family or relatives,respondent alone = 1 | respondent and husband/partner = 2 | respondent and other person = 3 | husband/partner alone = 4 | someone else = 5 | other = 6,"haven_labelled, vctrs_vctr, double",17986,16922,1064,5.915712220616035,5
p19,months since pregnancy outcome,NA,numeric,17986,17986,0,0,36
m80,pregnancy outcome for this section,most recent live birth = 1 | prior live birth = 2 | most recent stillbirth = 3 | prior stillbirth = 4 | miscarriage/abortion = 5,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,5
m2a,prenatal: doctor,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,14341,3645,20.265762259535194,2
m2b,prenatal: nurse/midwife,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,14341,3645,20.265762259535194,2
m2c,prenatal: community health extension worker,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,14341,3645,20.265762259535194,2
m2d,na - prenatal: cs health professional,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,0,17986,100,0
m2e,na - prenatal: cs health professional,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,0,17986,100,0
m2f,na - prenatal: cs health professional,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,0,17986,100,0
m2g,prenatal: traditional birth attendant,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,14341,3645,20.265762259535194,2
m2h,prenatal: auxiliary midwife,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,14341,3645,20.265762259535194,2
m2i,prenatal: comm health influencers/promoters/field workers,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,14341,3645,20.265762259535194,2
m2j,na - prenatal: cs other person,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,0,17986,100,0
m2k,prenatal: other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,14341,3645,20.265762259535194,2
m2l,na - prenatal: cs other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,0,17986,100,0
m2m,na - prenatal: cs other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,0,17986,100,0
m2n,prenatal: no one,no: some care = 0 | yes: no care = 1,"haven_labelled, vctrs_vctr, double",17986,14341,3645,20.265762259535194,2
m13,timing of 1st antenatal check (months),don't know = 98,"haven_labelled, vctrs_vctr, double",17986,10447,7539,41.9159346158123,10
m14,number of antenatal visits during pregnancy,no antenatal visits = 0 | don't know = 98,"haven_labelled, vctrs_vctr, double",17986,14341,3645,20.265762259535194,22
m42c,during pregnancy: blood pressure taken,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,10447,7539,41.9159346158123,3
m42d,during pregnancy: urine sample taken,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,10447,7539,41.9159346158123,3
m42e,during pregnancy: blood sample taken,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,10447,7539,41.9159346158123,3
m42f,during pregnancy: listen to baby's heartbeat,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,10447,7539,41.9159346158123,3
m42g,during pregnancy: talk about foods to eat,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,10447,7539,41.9159346158123,3
m42h,during pregnancy: talk about breastfeeding,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,10447,7539,41.9159346158123,3
m42i,during pregnancy: ask about vaginal bleeding,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,10447,7539,41.9159346158123,3
m15,place of delivery,---home--- = 10 | her home = 11 | other home = 12 | ---public sector--- = 20 | teaching hospital = 21 | federal medical center = 22 | general hospital = 23 | primary health care center = 24 | primary health clinic = 25 | health post = 26 | other public sector = 27 | ---private medical sector--- = 30 | private hospital = 31 | private clinic = 32 | pharmacy = 33 | patent and proprietary medicine vendors (ppmv) = 34 | private doctor = 35 | mobile clinic = 36 | maternity center = 37 | other private medical = 38 | ---ngo medical sector--- = 40 | faith-based hospital = 41 | faith-based clinic = 42 | other ngo medical sector = 46 | ---other--- = 90 | other = 96,"haven_labelled, vctrs_vctr, double",17986,16310,1676,9.318358723451574,21
m3a,assistance: doctor,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,16310,1676,9.318358723451574,2
m3b,assistance: nurse/midwife,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,16310,1676,9.318358723451574,2
m3c,assistance: community health extension worker,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,16310,1676,9.318358723451574,2
m3d,na - assistance: cs health professional,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,0,17986,100,0
m3e,na - assistance: cs health professional,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,0,17986,100,0
m3f,na - assistance: cs health professional,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,0,17986,100,0
m3g,assistance: traditional birth attendant,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,16310,1676,9.318358723451574,2
m3h,assistance: auxiliary midwife,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,16310,1676,9.318358723451574,2
m3i,assistance: relative/friend,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,16310,1676,9.318358723451574,2
m3j,assistance: comm health influencers/promoters/field workers,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,16310,1676,9.318358723451574,2
m3k,assistance: other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,16310,1676,9.318358723451574,2
m3l,na - assistance: cs other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,0,17986,100,0
m3m,na - assistance: cs other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,0,17986,100,0
m3n,assistance: no one,no: some assistance = 0 | yes: no assistance = 1,"haven_labelled, vctrs_vctr, double",17986,16310,1676,9.318358723451574,2
m62,respondent's health checked after delivery before discharge,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,6533,11453,63.67730457022128,2
m63,how long after delivery respondent's health check before discharge took place,zero hours = 100 | one day = 201 | one week = 301 | don't know = 998,"haven_labelled, vctrs_vctr, double",17986,5213,12773,71.01634604692538,39
m64,who checked respondent's health before discharge,---health personnel--- = 10 | doctor = 11 | nurse/midwife = 12 | community health extension worker = 13 | ---other person--- = 20 | auxiliary midwife = 21 | traditional birth attendant = 22 | community health influencers promoters and services (chips)/community health wor = 23 | other = 96,"haven_labelled, vctrs_vctr, double",17986,5213,12773,71.01634604692538,6
m66,respondent's health checked after discharge/delivery at home,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,14341,3645,20.265762259535194,2
m67,how long after delivery respondent's health check (after discharge/home delivery,zero hours = 100 | one day = 201 | one week = 301 | don't know = 998,"haven_labelled, vctrs_vctr, double",17986,2279,15707,87.32903369287224,42
m68,who checked respondent's health after discharge/delivery at home,---health personnel--- = 10 | doctor = 11 | nurse/midwife = 12 | community health extension worker = 13 | ---other person--- = 20 | auxiliary midwife = 21 | traditional birth attendant = 22 | community health influencers promoters and services (chips)/community health wor = 23 | other = 96,"haven_labelled, vctrs_vctr, double",17986,2279,15707,87.32903369287224,7
m70,child's health checked after discharge/delivery at home,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,14040,3946,21.939286111419992,3
m71,how long after delivery child's health check (after discharge/home delivery) too,immediately/in first hour = 100 | hours: 1 = 101 | hours: number missing = 199 | days: 1 = 201 | days: number missing = 299 | weeks: 1 = 301 | weeks: number missing = 399 | don't know = 998,"haven_labelled, vctrs_vctr, double",17986,2332,15654,87.03436005782275,50
m72,who checked child's health after discharge/home delivery,---health personnel--- = 10 | doctor = 11 | nurse/midwife = 12 | community health extension worker = 13 | ---other person--- = 20 | auxiliary midwife = 21 | traditional birth attendant = 22 | community health influencers promoters and services (chips)/community health wor = 23 | other = 96,"haven_labelled, vctrs_vctr, double",17986,2332,15654,87.03436005782275,7
m74,child's health checked before discharge,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,6380,11606,64.52796619593016,3
m75,how long after delivery child's health check before discharge took place,zero hours = 100 | one day = 201 | one week = 301 | don't know = 998,"haven_labelled, vctrs_vctr, double",17986,4956,13030,72.44523518292006,38
m76,who checked child's health before discharge,---health personnel--- = 10 | doctor = 11 | nurse/midwife = 12 | community health extension worker = 13 | ---other person--- = 20 | auxiliary midwife = 21 | traditional birth attendant = 22 | community health influencers promoters and services (chips)/community health wor = 23 | other = 96,"haven_labelled, vctrs_vctr, double",17986,4956,13030,72.44523518292006,7
